 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,AR,Round,Solidity
335,5_8p4_28p68:slice:21,147,1137.507,1006.391,1137.507,1006.391,18.807,9.952,31.050,0.832,1.890,0.529,0.913
336,5_8p4_28p68:slice:21,149,727.601,1164.768,727.601,1164.768,19.013,9.978,28.564,0.815,1.905,0.525,0.898
337,5_8p4_28p68:slice:21,282,121.177,1237.482,121.177,1237.482,23.605,15.211,157.274,0.441,1.552,0.644,0.701
338,5_8p4_28p68:slice:22,1367,754.183,234.955,754.183,234.955,74.927,23.229,101.171,0.532,3.226,0.310,0.877
339,5_8p4_28p68:slice:22,39,260.346,284.705,260.346,284.705,8.681,5.720,50.177,0.883,1.518,0.659,0.857
340,5_8p4_28p68:slice:22,1901,200.952,394.774,200.952,394.774,84.406,28.676,113.859,0.554,2.943,0.340,0.869
341,5_8p4_28p68:slice:22,58,1115.276,367.224,1115.276,367.224,9.598,7.694,27.950,0.960,1.248,0.802,0.913
342,5_8p4_28p68:slice:22,2189,506.792,588.041,506.792,588.041,85.997,32.410,107.257,0.525,2.653,0.377,0.889
343,5_8p4_28p68:slice:22,1859,943.132,698.307,943.132,698.307,75.607,31.306,104.803,0.567,2.415,0.414,0.894
344,5_8p4_28p68:slice:22,240,1244.117,737.429,1244.117,737.429,31.796,9.611,136.344,0.626,3.308,0.302,0.897
345,5_8p4_28p68:slice:22,452,1169.883,870.907,1169.883,870.907,43.544,13.217,133.004,0.612,3.295,0.304,0.921
346,5_8p4_28p68:slice:22,231,260.011,924.760,260.011,924.760,45.828,6.418,159.375,0.292,7.141,0.140,0.677
347,5_8p4_28p68:slice:22,323,106.964,930.522,106.964,930.522,41.336,9.949,136.425,0.537,4.155,0.241,0.881
348,5_8p4_28p68:slice:22,247,649.860,963.557,649.860,963.557,33.803,9.304,133.507,0.585,3.633,0.275,0.888
349,5_8p4_28p68:slice:22,296,193.878,969.007,193.878,969.007,37.889,9.947,134.313,0.559,3.809,0.263,0.897
350,5_8p4_28p68:slice:22,1736,544.999,1032.188,544.999,1032.188,85.802,25.761,111.970,0.497,3.331,0.300,0.877
351,5_8p4_28p68:slice:22,255,1138.904,1008.888,1138.904,1008.888,34.572,9.391,132.493,0.582,3.681,0.272,0.881
352,5_8p4_28p68:slice:22,265,729.058,1167.300,729.058,1167.300,35.987,9.376,130.494,0.556,3.838,0.261,0.860
353,5_8p4_28p68:slice:22,281,121.219,1237.457,121.219,1237.457,23.656,15.124,156.687,0.439,1.564,0.639,0.701
354,5_8p4_28p68:slice:23,1611,753.251,236.052,753.251,236.052,65.397,31.365,109.725,0.590,2.085,0.480,0.862
355,5_8p4_28p68:slice:23,43,258.988,284.756,258.988,284.756,8.967,6.106,51.147,0.909,1.469,0.681,0.869
356,5_8p4_28p68:slice:23,1991,200.407,395.817,200.407,395.817,90.164,28.116,118.627,0.471,3.207,0.312,0.854
357,5_8p4_28p68:slice:23,59,1115.314,367.161,1115.314,367.161,9.730,7.721,31.523,0.936,1.260,0.794,0.922
